Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Valor,SEXE,EDAT_1
2021-01-01,1,Ciutat Vella,1,el Raval,1,9,2,63
2021-01-01,1,Ciutat Vella,1,el Raval,1,8,2,64
2021-01-01,1,Ciutat Vella,1,el Raval,1,9,2,65
2021-01-01,1,Ciutat Vella,1,el Raval,1,7,2,66
2021-01-01,1,Ciutat Vella,1,el Raval,1,12,2,67
2021-01-01,1,Ciutat Vella,1,el Raval,1,9,2,68
2021-01-01,1,Ciutat Vella,1,el Raval,1,9,2,69
2021-01-01,1,Ciutat Vella,1,el Raval,1,14,2,70
2021-01-01,1,Ciutat Vella,1,el Raval,1,7,2,71
2021-01-01,1,Ciutat Vella,1,el Raval,1,5,2,72
2021-01-01,1,Ciutat Vella,1,el Raval,1,5,2,73
2021-01-01,1,Ciutat Vella,1,el Raval,1,6,2,74
2021-01-01,1,Ciutat Vella,1,el Raval,1,6,2,75
2021-01-01,1,Ciutat Vella,1,el Raval,1,6,2,76
2021-01-01,1,Ciutat Vella,1,el Raval,1,6,2,77
2021-01-01,1,Ciutat Vella,1,el Raval,1,7,2,78
2021-01-01,1,Ciutat Vella,1,el Raval,1,..,2,79
2021-01-01,1,Ciutat Vella,1,el Raval,1,9,2,80
2021-01-01,1,Ciutat Vella,1,el Raval,1,5,2,81
2021-01-01,1,Ciutat Vella,1,el Raval,1,7,2,82
2021-01-01,1,Ciutat Vella,1,el Raval,1,7,2,83
2021-01-01,1,Ciutat Vella,1,el Raval,1,..,2,84
2021-01-01,1,Ciutat Vella,1,el Raval,1,..,2,85
2021-01-01,1,Ciutat Vella,1,el Raval,1,..,2,86
2021-01-01,1,Ciutat Vella,1,el Raval,1,..,2,87
2021-01-01,1,Ciutat Vella,1,el Raval,1,6,2,88
2021-01-01,1,Ciutat Vella,1,el Raval,1,..,2,90
2021-01-01,1,Ciutat Vella,1,el Raval,1,..,2,93
2021-01-01,1,Ciutat Vella,1,el Raval,1,..,2,94
2021-01-01,1,Ciutat Vella,1,el Raval,1,..,2,96
2021-01-01,1,Ciutat Vella,1,el Raval,2,21,1,0
2021-01-01,1,Ciutat Vella,1,el Raval,2,34,1,1
2021-01-01,1,Ciutat Vella,1,el Raval,2,38,1,2
2021-01-01,1,Ciutat Vella,1,el Raval,2,32,1,3
2021-01-01,1,Ciutat Vella,1,el Raval,2,38,1,4
