Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Distribucio_P80_20,Index_Gini,Import_Renda_Disponible,Import_Renda_Bruta,Import_Renda_Neta,Edat_Mitjana
2020,6,Gràcia,28,Vallcarca i els Penitents,1,3.4,36.6,20949.48,21224,16659,43.88489096573209
2020,6,Gràcia,28,Vallcarca i els Penitents,2,3.2,33.7,21391.8,21840,17368,43.88489096573209
2020,6,Gràcia,28,Vallcarca i els Penitents,3,3.0,32.9,20577.36,20960,16630,43.88489096573209
2020,6,Gràcia,28,Vallcarca i els Penitents,4,3.1,34.7,22801.54,23477,18471,43.88489096573209
2020,6,Gràcia,28,Vallcarca i els Penitents,6,3.0,33.5,27177.75,29895,21744,43.30318622600436
2020,6,Gràcia,28,Vallcarca i els Penitents,7,3.1,33.6,25386.0,26343,20128,43.30318622600436
2020,6,Gràcia,28,Vallcarca i els Penitents,8,3.1,34.4,22362.96,23119,18026,43.30318622600436
2020,6,Gràcia,28,Vallcarca i els Penitents,9,3.4,39.8,30706.98,32233,23781,43.73759171342253
2020,6,Gràcia,28,Vallcarca i els Penitents,10,3.1,34.4,25752.53,26478,20519,43.73759171342253
2020,6,Gràcia,28,Vallcarca i els Penitents,11,2.9,32.7,24465.1,25346,19523,46.04183927091964
2020,6,Gràcia,28,Vallcarca i els Penitents,12,2.9,32.0,26558.27,28164,21211,46.04183927091964
2020,6,Gràcia,29,el Coll,13,3.1,34.2,21122.4,21825,17062,43.67259083728278
2020,6,Gràcia,29,el Coll,14,2.9,32.7,19424.34,19580,15965,43.67259083728278
2020,6,Gràcia,29,el Coll,15,3.0,36.0,18745.35,18570,15146,43.67259083728278
2020,6,Gràcia,29,el Coll,16,2.9,31.7,17310.75,17064,14039,43.67259083728278
2020,6,Gràcia,29,el Coll,17,3.1,32.9,18475.54,18463,14969,43.67259083728278
2020,6,Gràcia,30,la Salut,18,2.9,33.1,19899.51,20093,16148,43.7649588631264
2020,6,Gràcia,30,la Salut,19,2.6,32.4,20829.23,21418,16856,43.7649588631264
2020,6,Gràcia,30,la Salut,20,3.1,35.3,21989.44,22171,17676,43.7649588631264
2020,6,Gràcia,30,la Salut,21,2.7,34.5,25181.75,26225,20265,43.7649588631264
2020,6,Gràcia,30,la Salut,22,3.4,36.0,23010.9,23599,18497,45.74511984185817
2020,6,Gràcia,30,la Salut,23,2.4,28.2,28642.13,31941,23437,45.74511984185817
2020,6,Gràcia,30,la Salut,24,2.5,30.0,23505.14,23931,18992,45.74511984185817
2020,6,Gràcia,30,la Salut,25,2.5,29.8,24707.06,26007,20065,45.74511984185817
2020,6,Gràcia,30,la Salut,26,3.0,33.4,23390.23,23934,18901,45.74511984185817
2020,6,Gràcia,30,la Salut,27,2.7,32.6,24763.44,25713,20019,45.74511984185817
2020,6,Gràcia,31,la Vila de Gràcia,28,3.4,35.2,20866.35,21016,16759,43.79813863928113
2020,6,Gràcia,31,la Vila de Gràcia,29,2.9,33.5,23058.64,23583,18657,43.79813863928113
2020,6,Gràcia,31,la Vila de Gràcia,30,2.5,30.7,21482.97,21341,17096,43.79813863928113
2020,6,Gràcia,31,la Vila de Gràcia,31,2.6,30.0,22931.52,23340,18425,43.79813863928113
2020,6,Gràcia,31,la Vila de Gràcia,32,2.8,30.4,20556.95,20829,16634,43.79813863928113
2020,6,Gràcia,31,la Vila de Gràcia,33,2.8,32.7,22332.12,22769,17944,45.11636577708006
2020,6,Gràcia,31,la Vila de Gràcia,34,2.9,34.3,24957.38,24596,19524,45.11636577708006
2020,6,Gràcia,31,la Vila de Gràcia,35,2.5,31.3,26523.77,26913,21080,45.11636577708006
2020,6,Gràcia,31,la Vila de Gràcia,36,2.8,33.7,24326.71,25040,19400,45.11636577708006
2020,6,Gràcia,31,la Vila de Gràcia,37,2.7,33.9,23046.53,23557,18371,42.13463368220742
2020,6,Gràcia,31,la Vila de Gràcia,38,2.5,28.8,22137.32,22291,17726,42.13463368220742
2020,6,Gràcia,31,la Vila de Gràcia,39,3.1,32.6,20509.11,20556,16390,42.13463368220742
2020,6,Gràcia,31,la Vila de Gràcia,40,3.2,34.3,24163.92,24821,19329,42.43631067961165
2020,6,Gràcia,31,la Vila de Gràcia,41,3.2,34.3,25140.07,25506,19761,42.43631067961165
2020,6,Gràcia,31,la Vila de Gràcia,42,3.2,36.6,29240.45,30561,22635,42.43631067961165
2020,6,Gràcia,31,la Vila de Gràcia,43,3.2,38.9,24428.02,25575,19297,40.68032212885154
2020,6,Gràcia,31,la Vila de Gràcia,44,3.4,39.8,30180.1,31870,23423,40.68032212885154
2020,6,Gràcia,31,la Vila de Gràcia,45,3.2,35.5,23014.4,23666,18089,40.822396856581534
2020,6,Gràcia,31,la Vila de Gràcia,46,3.3,33.8,21322.68,21594,16961,40.822396856581534
2020,6,Gràcia,31,la Vila de Gràcia,47,3.3,34.6,19456.52,19527,15523,40.822396856581534
2020,6,Gràcia,31,la Vila de Gràcia,48,3.3,34.7,19855.82,20239,15914,40.822396856581534
2020,6,Gràcia,31,la Vila de Gràcia,49,2.8,31.9,22581.8,22535,17839,41.66496644295302
2020,6,Gràcia,31,la Vila de Gràcia,50,3.1,33.8,18719.72,18962,15145,41.66496644295302
2020,6,Gràcia,31,la Vila de Gràcia,51,3.3,35.4,22178.24,22200,17562,41.66496644295302
2020,6,Gràcia,31,la Vila de Gràcia,52,2.6,32.1,21452.58,21603,17245,41.87905477980666
2020,6,Gràcia,31,la Vila de Gràcia,53,2.8,33.7,21995.25,22490,17620,41.87905477980666
2020,6,Gràcia,31,la Vila de Gràcia,54,3.0,32.4,20486.85,20428,16358,41.87905477980666
2020,6,Gràcia,31,la Vila de Gràcia,55,2.8,34.4,22864.24,23300,18057,42.85281274081685
2020,6,Gràcia,31,la Vila de Gràcia,56,3.1,33.8,20180.78,20192,16029,42.85281274081685
2020,6,Gràcia,31,la Vila de Gràcia,57,3.1,34.7,20166.9,20122,16040,42.85281274081685
2020,6,Gràcia,31,la Vila de Gràcia,58,3.3,35.7,22383.46,22741,17765,42.85281274081685
2020,6,Gràcia,31,la Vila de Gràcia,59,2.8,32.5,21628.21,21689,17356,42.85281274081685
2020,6,Gràcia,31,la Vila de Gràcia,60,2.7,31.2,21697.9,21764,17241,43.28129829984544
2020,6,Gràcia,31,la Vila de Gràcia,61,2.9,34.1,21956.08,21967,17572,43.28129829984544
2020,6,Gràcia,31,la Vila de Gràcia,62,2.5,29.6,20198.64,20460,16466,43.28129829984544
2020,6,Gràcia,31,la Vila de Gràcia,63,2.9,32.3,20558.03,20751,16536,43.28129829984544
2020,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,64,2.7,32.9,22719.99,23353,18344,44.4004816955684
2020,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,65,2.8,30.6,26756.66,27003,21250,44.4004816955684
2020,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,66,2.6,31.1,20599.51,21059,16774,44.4004816955684
2020,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,67,2.9,32.9,22849.72,23174,18285,44.4004816955684
2020,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,68,3.0,33.8,24666.27,25498,19643,44.4004816955684
